person_id,folder_name,name,profession,description
1,Aamir_Khan,Aamir Khan,Actor/Actress,Indian Bollywood celebrity Aamir Khan
2,Abhay_Deol,Abhay Deol,Actor/Actress,Indian Bollywood celebrity Abhay Deol
3,Abhishek_Bachchan,Abhishek Bachchan,Actor/Actress,Indian Bollywood celebrity Abhishek Bachchan
4,Aftab_Shivdasani,Aftab Shivdasani,Actor/Actress,Indian Bollywood celebrity Aftab Shivdasani
5,Aishwarya_Rai,Aishwarya Rai,Actor/Actress,Indian Bollywood celebrity Aishwarya Rai
6,Ajay_Devgn,Ajay Devgn,Actor/Actress,Indian Bollywood celebrity Ajay Devgn
7,Akshay_Kumar,Akshay Kumar,Actor/Actress,Indian Bollywood celebrity Akshay Kumar
8,Akshaye_Khanna,Akshaye Khanna,Actor/Actress,Indian Bollywood celebrity Akshaye Khanna
9,Alia_Bhatt,Alia Bhatt,Actor/Actress,Indian Bollywood celebrity Alia Bhatt
10,Ameesha_Patel,Ameesha Patel,Actor/Actress,Indian Bollywood celebrity Ameesha Patel
11,Amitabh_Bachchan,Amitabh Bachchan,Actor/Actress,Indian Bollywood celebrity Amitabh Bachchan
12,Amrita_Rao,Amrita Rao,Actor/Actress,Indian Bollywood celebrity Amrita Rao
13,Amy_Jackson,Amy Jackson,Actor/Actress,Indian Bollywood celebrity Amy Jackson
14,Anil_Kapoor,Anil Kapoor,Actor/Actress,Indian Bollywood celebrity Anil Kapoor
15,Anushka_Sharma,Anushka Sharma,Actor/Actress,Indian Bollywood celebrity Anushka Sharma
16,Anushka_Shetty,Anushka Shetty,Actor/Actress,Indian Bollywood celebrity Anushka Shetty
17,Arjun_Kapoor,Arjun Kapoor,Actor/Actress,Indian Bollywood celebrity Arjun Kapoor
18,Arjun_Rampal,Arjun Rampal,Actor/Actress,Indian Bollywood celebrity Arjun Rampal
19,Arshad_Warsi,Arshad Warsi,Actor/Actress,Indian Bollywood celebrity Arshad Warsi
20,Asin,Asin,Actor/Actress,Indian Bollywood celebrity Asin
21,Ayushmann_Khurrana,Ayushmann Khurrana,Actor/Actress,Indian Bollywood celebrity Ayushmann Khurrana
22,Bhumi_Pednekar,Bhumi Pednekar,Actor/Actress,Indian Bollywood celebrity Bhumi Pednekar
23,Bipasha_Basu,Bipasha Basu,Actor/Actress,Indian Bollywood celebrity Bipasha Basu
24,Bobby_Deol,Bobby Deol,Actor/Actress,Indian Bollywood celebrity Bobby Deol
25,Deepika_Padukone,Deepika Padukone,Actor/Actress,Indian Bollywood celebrity Deepika Padukone
26,Disha_Patani,Disha Patani,Actor/Actress,Indian Bollywood celebrity Disha Patani
27,Emraan_Hashmi,Emraan Hashmi,Actor/Actress,Indian Bollywood celebrity Emraan Hashmi
28,Esha_Gupta,Esha Gupta,Actor/Actress,Indian Bollywood celebrity Esha Gupta
29,Farhan_Akhtar,Farhan Akhtar,Actor/Actress,Indian Bollywood celebrity Farhan Akhtar
30,Govinda,Govinda,Actor/Actress,Indian Bollywood celebrity Govinda
31,Hrithik_Roshan,Hrithik Roshan,Actor/Actress,Indian Bollywood celebrity Hrithik Roshan
32,Huma_Qureshi,Huma Qureshi,Actor/Actress,Indian Bollywood celebrity Huma Qureshi
